Year,Country Name,"Current account balance, US Dollar","Current account balance, Percent of GDP","Revenue, General government, Domestic currency","Revenue, General government, Percent of GDP","Expenditure, General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Percent of GDP","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Gross debt, General government, Domestic currency","Gross debt, General government, Percent of GDP","Expenditure, General government, Percent of GDP","Population, Number",Unemployment rate,"Gross domestic product (GDP), Current prices, Domestic currency","Gross domestic product (GDP), Current prices, US Dollar","Gross domestic product (GDP), Current prices, Per capita, US Dollar","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number","Gross domestic product (GDP), Deflator, Index","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Gross domestic product (GDP), Constant prices, Domestic currency","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Gross national savings, Percent of GDP","All items, Consumer price index (CPI), Period average","All items, Consumer price index (CPI), End-of-period (EoP)","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)","All items, Consumer price index (CPI), Percent change, period average","Domestic currency per international dollar in PPP terms, Domestic currency","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP","Gross capital formation, Percent of GDP","Imports of goods, Volume, Percent change","Imports of goods and services, Volume, Percent change","Exports of goods, Volume, Percent change","Exports of goods and services, Volume, Percent change"
2023,colombia,-9.154,-2.518,508158.71,32.316,550989.879,-42831.169,-2.724,17178.454,1.092,854113.294,54.317,35.04,52.216,10.158,1572458.0,363.57,6962.873,30114772.62,18734531.77,18730.183,160.745,1572458.0,978233.0,0.61,11.085,133.987,138.77,9.311,11.729,1448.688,1085.436,20787.614,0.589,13.602,-12.643,-12.643,1.481,1.481
2024,colombia,-10.597,-2.54,484536.618,28.788,558470.635,-73934.016,-4.393,-845.539,-0.05,939054.361,55.792,33.18,52.696,10.2,1683132.869,417.207,7917.244,31940458.52,18868897.31,18864.517,169.276,1683132.869,994314.507,1.644,11.253,142.989,146.625,5.66,6.719,1489.976,1129.638,21436.901,0.581,13.793,-1.476,-1.476,-5.405,-5.405
2015,cabo verde,-0.051,-2.902,42.678,24.54,49.907,-7.229,-4.157,-3.131,-1.801,200.99,115.571,28.697,0.491,12.4,173.911,1.75,3560.703,353882.935,353882.935,7882.549,100.0,173.911,173.911,0.936,29.114,99.401,99.335,-0.525,0.143,47.87,3.633,7392.519,0.003,29.711,-22.62,-22.612,-17.03,-6.698
2016,cabo verde,-0.064,-3.441,44.107,23.919,49.139,-5.031,-2.728,-0.843,-0.457,212.806,115.403,26.648,0.493,15.0,184.402,1.855,3759.98,373688.255,367514.292,8186.181,101.68,184.402,181.355,4.281,28.061,97.974,99.087,-0.25,-1.436,48.216,3.824,7750.226,0.003,28.555,20.457,19.322,10.763,13.156
2017,cabo verde,-0.137,-6.952,49.505,25.349,54.65,-5.145,-2.635,-0.65,-0.333,220.209,112.759,27.984,0.496,12.2,195.292,1.965,3965.504,394114.404,382645.971,8523.23,102.997,195.292,189.609,4.551,25.503,98.741,99.353,0.269,0.783,47.982,4.07,8213.839,0.003,29.284,19.024,13.869,-7.031,-0.088
2018,cabo verde,-0.099,-4.773,51.857,25.175,56.726,-4.869,-2.364,-0.271,-0.131,230.708,112.001,27.539,0.498,12.2,205.986,2.073,4165.533,413994.423,395198.856,8802.839,104.756,205.986,196.634,3.705,25.584,100.0,100.35,1.003,1.275,50.68,4.064,8168.715,0.003,27.486,4.803,5.577,20.479,4.945
2019,cabo verde,0.004,0.201,57.389,25.882,60.974,-3.585,-1.617,1.278,0.576,242.617,109.419,27.499,0.5,8.5,221.731,2.231,4465.52,443808.756,420929.844,9375.983,105.435,221.731,210.3,6.95,26.01,101.106,102.293,1.936,1.106,49.907,4.443,8892.673,0.003,23.442,2.273,1.364,4.54,16.554
2020,cabo verde,-0.281,-15.341,44.626,25.232,61.052,-16.426,-9.287,-11.789,-6.666,254.302,143.783,34.519,0.502,8.5,176.866,1.831,3649.151,352562.853,331993.319,7394.97,106.196,176.866,166.547,-20.805,17.816,101.718,101.42,-0.853,0.605,49.993,3.538,7052.22,0.003,28.873,-9.839,-17.465,-29.247,-55.564
2021,cabo verde,-0.244,-11.869,44.53,23.281,58.898,-14.368,-7.512,-10.178,-5.322,285.111,149.063,30.793,0.504,8.5,191.269,2.053,4072.362,379407.595,353604.543,7876.348,107.297,191.269,178.261,7.034,17.679,103.614,106.871,5.375,1.863,48.17,3.971,7876.348,0.003,27.75,3.196,-4.29,-4.658,-25.512
2022,cabo verde,-0.083,-3.614,52.66,21.798,62.676,-10.016,-4.146,-4.74,-1.962,299.618,124.026,25.945,0.507,8.5,241.576,2.309,4557.702,476862.989,413244.176,9204.789,115.395,241.576,209.347,17.439,21.644,111.831,114.969,7.577,7.93,48.358,4.996,9861.034,0.003,25.085,5.833,5.527,4.22,82.188
2023,cabo verde,-0.08,-3.084,64.824,24.572,65.532,-0.708,-0.268,4.926,1.867,300.852,114.039,24.84,0.509,8.5,263.815,2.588,5083.19,518221.214,432080.388,9624.355,119.936,263.815,219.963,5.071,18.61,115.987,116.5,1.332,3.717,48.516,5.438,10681.55,0.003,23.07,12.695,11.484,30.464,29.703
2024,cabo verde,-0.144,-5.209,75.645,26.903,83.748,-8.103,-2.882,-2.02,-0.718,312.122,111.006,29.785,0.512,8.5,281.176,2.756,5388.164,549672.975,450266.548,10029.442,122.077,281.176,230.327,4.712,19.587,118.307,118.83,2.0,2.0,48.229,5.83,11397.066,0.003,24.795,14.937,14.276,13.414,10.188
2015,costa rica,-1.921,-3.404,3993.816,13.237,5659.97,-1666.154,-5.522,-866.206,-2.871,12004.111,39.786,18.759,4.851,9.604,30171.919,56.442,11635.197,6219817.672,6522949.647,21365.105,95.353,30171.919,31642.392,3.652,15.45,92.97,92.58,-0.808,0.802,334.113,90.304,18615.889,0.08,18.854,-5.557,4.498,-0.975,2.888
2016,costa rica,-1.257,-2.137,4379.463,13.662,6012.427,-1632.964,-5.094,-758.364,-2.366,14122.558,44.056,18.756,4.909,9.541,32056.288,58.847,11986.918,6529710.527,6716387.336,21998.686,97.221,32056.288,32972.74,4.204,16.752,92.953,93.288,0.765,-0.017,337.451,94.995,19350.081,0.081,18.889,5.541,8.938,9.282,9.417
2017,costa rica,-2.189,-3.617,4560.065,13.278,6579.128,-2019.063,-5.879,-996.684,-2.902,16163.486,47.064,19.157,4.966,9.293,34343.648,60.517,12185.259,6915180.148,6915180.168,22649.807,100.0,34343.648,34343.648,4.158,14.448,94.464,95.689,2.574,1.626,340.992,100.717,20279.603,0.081,18.065,10.75,5.013,14.258,6.955
2018,costa rica,-1.867,-2.991,4766.509,13.235,6805.046,-2038.537,-5.66,-809.801,-2.249,18669.832,51.839,18.895,5.022,11.951,36014.719,62.422,12428.924,7170945.547,7017097.209,22983.623,102.192,36014.719,35242.045,2.616,15.378,96.563,97.629,2.027,2.221,337.902,106.583,21221.974,0.081,18.37,6.468,2.856,6.888,4.891
2019,costa rica,-0.826,-1.283,5675.661,15.002,8204.447,-2528.786,-6.684,-994.323,-2.628,21348.964,56.431,21.686,5.075,12.417,37832.15,64.412,12691.127,7454064.411,7111601.888,23293.162,104.816,37832.15,36094.025,2.418,14.781,98.587,99.115,1.522,2.096,324.217,116.688,22990.944,0.084,16.064,-2.723,-2.297,3.019,4.261
2020,costa rica,-0.632,-1.012,5077.367,13.912,8135.524,-3058.157,-8.38,-1368.288,-3.749,24419.524,66.912,22.292,5.128,19.98,36495.246,62.382,12163.927,7116292.857,6737296.689,22067.172,105.625,36495.246,34551.6,-4.273,15.151,99.301,100.0,0.892,0.725,328.024,111.258,21694.418,0.08,16.163,-12.929,-12.929,-0.189,-10.633
2021,costa rica,-2.061,-3.173,6326.214,15.687,8377.078,-2050.864,-5.086,-111.801,-0.277,27271.988,67.628,20.773,5.18,13.68,40326.626,64.954,12539.282,7785002.819,7199468.016,23580.956,108.133,40326.626,37293.532,7.936,15.409,101.016,103.299,3.299,1.727,330.139,122.15,23580.956,0.079,18.582,19.246,19.246,29.049,15.934
2022,costa rica,-2.235,-3.228,7341.174,16.383,8598.2,-1257.026,-2.805,927.391,2.07,28223.523,62.985,19.188,5.229,11.669,44810.031,69.235,13239.876,8569035.302,7456249.741,24422.013,114.924,44810.031,38990.944,4.551,14.469,109.375,111.436,7.877,8.275,327.523,136.815,26163.154,0.079,17.697,8.118,8.118,17.572,18.501
2023,costa rica,-1.253,-1.448,7184.483,15.267,8676.44,-1491.956,-3.17,731.964,1.555,28762.282,61.119,18.437,5.278,7.297,47059.272,86.509,16390.222,8915932.427,7764925.513,25433.041,114.823,47059.272,40984.131,5.112,13.808,109.949,109.469,-1.765,0.525,315.868,148.984,28226.753,0.081,15.257,5.19,5.19,-4.716,9.959
2024,costa rica,-2.073,-2.179,7328.831,14.903,9153.409,-1824.578,-3.71,641.828,1.305,30118.261,61.245,18.613,5.327,8.3,49176.939,95.149,17860.414,9230982.555,8000838.512,26205.745,115.375,49176.939,42623.496,4.0,13.903,109.666,110.431,0.879,-0.258,309.981,158.645,29779.185,0.082,16.082,6.824,6.824,2.136,6.386
2015,cyprus,-0.089,-0.447,7.094,39.532,7.081,0.012,0.068,0.533,2.968,19.164,106.799,39.464,0.847,14.9,17.944,19.911,23507.588,21185.16,21138.053,38639.544,100.223,17.944,17.904,3.418,13.185,99.993,99.42,-0.49,-1.541,0.629,28.515,33665.361,0.025,13.135,6.278,8.062,7.316,8.925
2016,cyprus,-0.88,-4.184,7.138,37.542,7.09,0.049,0.256,0.516,2.713,19.509,102.607,37.286,0.848,12.95,19.014,21.041,24802.599,22413.385,22493.072,41116.466,99.646,19.014,19.081,6.575,13.177,98.777,99.52,0.101,-1.217,0.62,30.678,36163.823,0.026,17.286,12.827,10.164,-8.951,7.22
2017,cyprus,-1.157,-5.043,7.781,38.304,7.396,0.385,1.894,0.859,4.228,18.814,92.624,36.41,0.855,11.05,20.312,22.938,26834.665,23762.579,23602.308,43144.107,100.679,20.312,20.175,5.733,15.6,99.451,99.13,-0.392,0.683,0.615,33.018,38626.82,0.027,20.718,12.507,14.303,6.228,10.982
2018,cyprus,-1.013,-3.957,8.452,38.994,9.236,-0.784,-3.618,-0.301,-1.388,21.923,101.141,42.612,0.864,8.35,21.675,25.609,29631.99,25080.186,24663.286,45083.534,101.69,21.675,21.315,5.648,15.33,100.228,100.14,1.019,0.782,0.612,35.391,40951.164,0.027,19.216,4.084,4.325,31.608,7.22
2019,cyprus,-1.442,-5.556,9.128,39.382,8.837,0.291,1.255,0.776,3.349,21.566,93.048,38.127,0.876,7.075,23.178,25.95,29626.37,26461.613,25682.299,46946.25,103.034,23.178,22.495,5.537,14.254,100.775,100.85,0.709,0.545,0.588,39.411,44995.253,0.028,19.742,-6.64,9.503,-16.878,8.724
2020,cyprus,-2.513,-9.968,8.501,38.489,9.768,-1.267,-5.736,-0.818,-3.703,25.384,114.929,44.225,0.888,7.575,22.087,25.207,28386.27,24872.27,24459.997,44711.93,101.685,22.087,21.721,-3.443,11.001,99.668,100.03,-0.813,-1.098,0.579,38.176,42990.901,0.027,20.863,-7.605,3.245,-2.506,1.636
2021,cyprus,-1.791,-6.072,9.991,40.081,10.445,-0.454,-1.821,-0.043,-0.171,24.741,99.251,41.902,0.896,7.475,24.928,29.502,32926.483,27820.653,26643.988,48704.181,104.416,24.928,23.873,9.91,13.367,101.904,104.85,4.819,2.243,0.571,43.639,48704.181,0.028,19.32,9.297,15.364,21.804,21.639
2022,cyprus,-2.321,-7.93,11.54,41.545,10.781,0.759,2.732,1.144,4.118,23.776,85.594,38.813,0.905,6.775,27.777,29.274,32357.354,30703.157,27722.738,50676.094,110.751,27.777,25.081,5.059,13.422,110.142,112.79,7.573,8.084,0.566,49.116,54288.993,0.029,21.201,24.413,18.282,20.904,13.618
2023,cyprus,-3.901,-12.102,12.914,43.325,11.995,0.919,3.082,1.325,4.444,23.036,77.284,40.243,0.921,6.098,29.807,32.239,35015.587,32374.463,27912.862,51023.633,115.984,29.807,25.699,2.466,9.745,114.484,114.99,1.951,3.943,0.572,52.138,56628.363,0.028,21.708,8.377,1.716,-7.894,-1.244
2024,cyprus,-3.526,-10.134,14.13,44.256,13.127,1.003,3.142,1.443,4.52,22.542,70.605,41.115,0.921,5.26,31.927,34.79,37766.666,34658.859,28816.285,52675.055,120.275,31.927,26.545,3.291,10.372,116.975,117.29,2.0,2.176,0.579,55.14,59857.876,0.028,20.507,-8.296,1.778,-1.394,3.235
2015,czech republic,0.843,0.446,1909.833,41.056,1939.612,-29.779,-0.64,12.528,0.269,1836.047,39.469,41.696,10.538,5.021,4651.813,189.108,17944.844,441420.726,508318.297,44035.064,86.839,4651.813,5356.798,4.959,27.415,99.975,99.5,0.0,0.309,12.372,376.002,35679.615,0.334,26.969,6.884,6.563,4.907,5.912
2016,czech republic,3.485,1.759,1940.949,40.077,1906.806,34.143,0.705,71.766,1.482,1754.737,36.232,39.372,10.579,3.946,4843.03,198.161,18731.83,457804.368,519438.841,44998.425,88.134,4843.03,5495.05,2.581,26.834,100.658,101.5,2.01,0.684,12.438,389.371,36806.635,0.332,25.075,2.793,2.568,4.126,4.137
2017,czech republic,3.383,1.527,2068.905,39.945,1992.172,76.733,1.482,109.604,2.116,1749.677,33.782,38.464,10.61,2.89,5179.344,221.564,20882.415,488154.303,544704.057,47187.123,89.618,5179.344,5779.34,5.174,26.617,103.125,103.9,2.365,2.451,12.425,416.849,39288.117,0.337,25.09,5.97,6.031,6.902,7.103
2018,czech republic,1.109,0.44,2244.77,40.995,2196.478,48.292,0.882,80.069,1.462,1734.602,31.678,40.113,10.65,2.177,5475.773,251.992,23661.699,514166.745,558030.479,48341.577,92.14,5475.773,5942.913,2.83,26.083,105.342,106.0,2.021,2.149,12.372,442.611,41560.489,0.336,25.643,5.177,5.512,3.298,3.502
2019,czech republic,0.835,0.325,2394.345,40.659,2377.636,16.709,0.284,45.687,0.776,1740.263,29.552,40.375,10.694,1.96,5888.869,256.794,24013.061,550673.517,575543.212,49858.686,95.679,5888.869,6154.824,3.566,26.497,108.342,109.4,3.208,2.848,12.097,486.787,45519.879,0.349,26.172,0.436,1.291,1.131,1.312
2020,czech republic,4.898,1.95,2366.566,40.605,2695.782,-329.216,-5.649,-295.118,-5.064,2149.822,36.886,46.253,10.702,2.512,5828.318,251.11,23464.296,544612.17,544612.17,47179.163,100.0,5828.318,5828.318,-5.305,26.681,111.767,111.9,2.285,3.161,12.15,479.686,44823.06,0.345,24.73,-6.504,-8.446,-6.745,-8.516
2021,czech republic,-7.751,-2.664,2528.677,40.088,2841.006,-312.329,-4.952,-275.466,-4.367,2566.731,40.692,45.04,10.517,2.734,6307.755,290.973,27667.664,599784.229,576524.762,49943.717,104.034,6307.755,6063.142,4.029,25.465,116.058,119.3,6.613,3.84,12.009,525.243,49943.717,0.338,28.129,14.459,13.684,8.082,8.153
2022,czech republic,-14.247,-4.72,2810.863,39.871,3026.218,-215.355,-3.055,-177.661,-2.52,2997.615,42.52,42.926,10.828,2.165,7049.872,301.831,27876.28,651106.268,575918.107,49891.163,113.055,7049.872,6235.77,2.847,26.313,133.583,138.1,15.759,15.1,12.182,578.711,53448.101,0.336,31.033,3.332,5.948,4.15,5.149
2023,czech republic,1.315,0.383,3040.796,39.913,3332.397,-291.601,-3.828,-249.276,-3.272,3228.369,42.375,43.741,10.851,2.578,7618.557,343.208,31630.255,702131.03,574202.119,49742.509,122.279,7618.557,6230.449,-0.085,28.376,147.825,147.6,6.879,10.661,12.718,599.025,55206.513,0.325,27.993,-2.322,-0.893,1.903,2.725
2024,czech republic,0.267,0.078,3277.947,41.472,3504.946,-227.0,-2.872,-157.643,-1.994,3438.917,43.508,44.344,10.935,2.8,7904.076,342.992,31365.509,722803.016,575835.284,49883.988,125.523,7904.076,6296.938,1.067,26.132,151.279,151.29,2.5,2.337,12.751,619.881,56686.216,0.319,26.055,-1.059,0.465,0.925,1.747
2015,germany,288.26,8.419,1401.532,45.421,1373.293,28.239,0.915,61.705,2.0,2177.231,70.56,44.506,81.687,4.367,3085.65,3423.915,41914.927,37773.949,41040.921,60103.751,92.04,3085.65,3352.52,1.656,27.881,99.992,99.6,0.201,0.68,0.745,4142.722,50714.424,3.683,19.462,4.497,4.869,3.111,4.31
2016,germany,299.003,8.454,1465.493,45.852,1429.256,36.237,1.134,66.118,2.069,2161.55,67.631,44.719,82.349,3.908,3196.11,3536.808,42949.139,38811.882,41643.255,60985.859,93.201,3196.11,3429.27,2.289,28.189,100.358,101.3,1.707,0.367,0.747,4277.828,51947.703,3.652,19.735,3.033,3.645,1.246,1.81
2017,germany,289.055,7.684,1529.123,45.904,1484.552,44.571,1.338,72.51,2.177,2130.324,63.952,44.566,82.657,3.567,3331.11,3761.764,45510.535,40300.398,42613.693,62407.049,94.571,3331.11,3522.32,2.713,28.197,102.067,102.9,1.579,1.702,0.745,4472.593,54110.278,3.615,20.513,3.942,4.523,4.814,4.758
2018,germany,316.177,7.799,1597.996,46.573,1533.328,64.668,1.885,89.572,2.611,2083.675,60.729,44.689,82.906,3.208,3431.13,4053.846,48897.189,41386.036,42960.238,62914.558,96.336,3431.13,3561.64,1.116,29.27,104.042,104.8,1.846,1.935,0.735,4665.363,56273.259,3.546,21.471,6.356,5.139,2.168,2.664
2019,germany,317.797,8.03,1657.565,46.892,1610.615,46.95,1.328,67.906,1.921,2069.889,58.556,45.563,83.093,2.975,3534.88,3957.645,47629.1,42541.249,43288.845,63395.798,98.273,3534.88,3597.0,0.993,29.33,105.45,106.2,1.336,1.354,0.718,4924.979,59270.69,3.532,21.3,3.147,3.518,1.128,1.915
2020,germany,253.943,6.45,1612.652,46.749,1763.784,-151.132,-4.381,-135.09,-3.916,2340.849,67.858,51.13,83.161,3.625,3449.62,3936.989,47341.768,41481.223,41480.141,60746.981,100.003,3449.62,3449.53,-4.1,28.117,105.842,105.633,-0.534,0.371,0.707,4880.368,58685.778,3.508,21.667,-5.372,-8.744,-9.731,-10.255
2021,germany,311.805,7.166,1747.866,47.542,1864.302,-116.436,-3.167,-99.332,-2.702,2495.538,67.879,50.709,83.196,3.575,3676.46,4351.188,52300.607,44190.478,42984.648,62950.306,102.805,3676.46,3576.14,3.67,29.627,109.242,111.367,5.428,3.212,0.702,5237.198,62950.306,3.369,22.461,7.629,8.856,10.06,9.8
2022,germany,173.5,4.164,1852.59,46.855,1937.465,-84.875,-2.147,-62.634,-1.584,2561.674,64.789,49.002,83.798,3.067,3953.85,4166.872,49725.343,47183.248,43259.395,63352.67,109.071,3953.85,3625.04,1.367,27.185,118.708,123.4,10.805,8.666,0.695,5687.297,67869.332,3.301,23.021,3.461,7.139,1.691,3.202
2023,germany,278.729,6.157,1917.448,45.811,2024.97,-107.522,-2.569,-80.546,-1.924,2622.669,62.66,48.38,84.514,3.025,4185.55,4527.009,53565.041,49524.784,42779.413,62649.743,115.768,4185.55,3615.47,-0.264,27.83,125.867,127.067,2.971,6.03,0.712,5876.407,69531.553,3.189,21.673,-3.345,-0.254,-0.359,0.197
2024,germany,311.719,6.618,1995.5,46.166,2082.087,-86.586,-2.003,-54.417,-1.259,2709.255,62.679,48.169,84.833,3.352,4322.445,4710.032,55521.345,50952.511,42621.758,62418.861,119.546,4322.445,3615.724,0.007,27.232,128.854,129.6,1.994,2.374,0.718,6017.222,70930.357,3.093,20.614,-2.493,-1.088,0.235,-0.058
2015,denmark,24.011,7.957,1086.629,53.523,1104.8,-18.171,-0.895,-10.384,-0.511,809.934,39.894,54.418,5.66,4.542,2030.206,301.759,53316.984,358711.702,380301.835,62712.789,94.323,2030.206,2152.4,2.101,28.5,100.0,100.1,0.301,0.226,6.955,291.914,51577.438,0.26,20.544,5.391,4.063,3.844,3.232
2016,denmark,22.126,7.088,1106.536,52.654,1100.181,6.355,0.302,10.311,0.491,783.958,37.304,52.352,5.707,4.125,2101.521,312.182,54699.182,368219.481,388733.56,64103.203,94.723,2101.521,2218.6,3.076,28.768,100.017,100.4,0.3,0.017,6.919,303.751,53221.935,0.259,21.681,0.708,4.286,0.821,3.662
2017,denmark,24.284,7.323,1144.944,52.29,1107.962,36.982,1.689,33.287,1.52,787.127,35.949,50.601,5.749,4.2,2189.589,331.611,57683.746,380879.628,397719.929,65585.079,95.766,2189.589,2286.4,3.056,29.28,101.075,101.3,0.896,1.058,6.872,318.64,55427.449,0.258,21.957,6.107,4.322,4.266,4.806
2018,denmark,22.409,6.307,1156.877,51.565,1138.695,18.182,0.81,8.844,0.394,766.125,34.148,50.754,5.781,3.85,2243.542,355.293,61456.783,388076.157,402840.938,66429.547,96.335,2243.542,2328.9,1.859,28.839,101.792,102.1,0.79,0.709,6.766,331.591,57356.837,0.252,22.532,3.472,5.705,1.651,3.404
2019,denmark,25.719,7.446,1246.044,54.09,1147.381,98.663,4.283,91.094,3.954,778.438,33.792,49.807,5.806,3.658,2303.637,345.402,59489.614,396762.808,407986.041,67277.988,97.249,2303.637,2368.8,1.713,29.332,102.533,103.0,0.881,0.729,6.538,352.325,60682.02,0.253,21.886,1.435,3.053,6.259,4.417
2020,denmark,25.699,7.226,1249.429,53.702,1240.994,8.435,0.363,1.177,0.051,981.155,42.171,53.34,5.823,4.65,2326.59,355.631,61075.932,399568.04,399569.758,65890.121,100.0,2326.59,2326.6,-1.781,29.989,102.875,103.5,0.485,0.333,6.365,365.525,62775.249,0.263,22.763,0.424,-3.954,-1.987,-6.36
2021,denmark,35.44,8.678,1374.329,53.527,1269.114,105.215,4.098,94.476,3.68,918.686,35.781,49.43,5.84,3.608,2567.521,408.378,69927.264,439640.619,427787.8,70543.351,102.771,2567.521,2498.3,7.38,32.28,104.875,107.1,3.478,1.944,6.232,411.976,70543.351,0.265,23.602,12.627,9.493,11.788,8.815
2022,denmark,46.86,11.658,1374.838,48.338,1276.893,97.945,3.444,88.311,3.105,844.683,29.698,44.894,5.873,2.517,2844.228,401.946,68434.674,484254.148,431911.901,71223.426,112.119,2844.228,2536.8,1.541,36.352,113.825,117.5,9.711,8.534,6.347,448.149,76301.226,0.26,24.694,-0.821,4.395,5.573,7.19
2023,denmark,40.04,9.836,1406.253,50.138,1313.529,92.724,3.306,69.073,2.463,831.959,29.663,46.832,5.933,2.783,2804.743,407.092,68618.872,472763.623,438269.28,72271.775,107.871,2804.743,2600.1,2.495,32.662,117.642,118.1,0.511,3.353,5.894,475.861,80210.524,0.258,22.827,-4.174,3.757,5.523,10.447
2024,denmark,37.292,9.045,1408.585,49.561,1357.614,50.97,1.793,32.497,1.143,800.989,28.183,47.768,5.952,2.9,2842.096,412.293,69273.048,477526.369,445353.977,73440.061,107.224,2842.096,2650.615,1.943,30.976,119.759,120.816,2.3,1.8,5.722,496.696,83454.418,0.255,21.931,3.42,3.42,7.98,6.9
2015,dominican republic,-1.28,-1.797,533.683,16.648,534.74,-1.058,-0.033,73.098,2.28,1432.526,44.687,16.681,9.98,7.328,3205.655,71.254,7139.507,321200.109,209763.304,18586.729,153.125,3205.655,2093.489,6.927,21.645,87.733,88.995,2.344,0.837,20.227,158.482,15879.616,0.141,23.442,19.452,19.187,3.987,9.282
2016,dominican republic,-0.815,-1.075,483.73,13.871,591.948,-108.219,-3.103,-19.891,-0.57,1624.776,46.591,16.974,10.075,7.08,3487.293,75.777,7521.268,346131.706,221626.638,19637.917,156.178,3487.293,2232.898,6.659,21.897,89.149,90.504,1.695,1.614,20.436,170.642,16937.126,0.146,22.972,8.749,8.984,4.461,7.703
2017,dominican republic,-0.133,-0.166,531.482,13.977,648.89,-117.408,-3.088,-20.578,-0.541,1859.743,48.906,17.064,10.169,5.509,3802.656,80.082,7874.941,373939.567,229822.165,20364.107,162.708,3802.656,2337.101,4.667,22.306,92.073,94.309,4.204,3.28,20.916,181.804,17877.986,0.147,22.472,-3.816,-4.095,1.769,3.34
2018,dominican republic,-1.322,-1.543,601.12,14.191,692.631,-91.511,-2.16,18.138,0.428,2137.632,50.465,16.352,10.266,5.656,4235.847,85.63,8340.961,412603.282,243547.006,21580.239,169.414,4235.847,2500.29,6.983,24.252,95.355,95.413,1.171,3.564,21.689,195.301,19023.797,0.148,25.796,4.255,5.482,3.69,4.267
2019,dominican republic,-1.188,-1.334,656.783,14.396,814.875,-158.093,-3.465,-32.841,-0.72,2444.412,53.579,17.861,10.358,6.167,4562.235,89.032,8595.18,440441.604,253574.778,22468.781,173.693,4562.235,2626.609,5.052,24.671,97.081,98.901,3.656,1.811,21.235,214.845,20741.332,0.154,26.005,4.1,5.1,1.482,-0.952
2020,dominican republic,-1.337,-1.694,632.252,14.187,984.601,-352.349,-7.906,-207.909,-4.665,3188.3,71.54,22.093,10.448,5.829,4456.657,78.923,7553.509,426535.656,234492.467,20777.933,181.897,4456.657,2450.094,-6.72,23.689,100.752,104.394,5.554,3.781,21.229,209.932,20092.118,0.151,25.383,-9.347,-11.471,-14.002,-31.625
2021,dominican republic,-2.685,-2.843,841.185,15.599,999.693,-158.509,-2.939,9.503,0.176,3409.599,63.226,18.538,10.536,7.384,5392.714,94.458,8965.655,511859.54,261094.443,23135.084,196.044,5392.714,2750.77,12.272,28.509,109.056,113.263,8.496,8.243,22.125,243.74,23135.084,0.157,31.352,17.635,18.088,10.809,26.017
2022,dominican republic,-6.549,-5.751,955.7,15.265,1158.999,-203.299,-3.247,-24.997,-0.399,3727.985,59.547,18.513,10.622,5.293,6260.564,113.873,10720.515,589399.413,271552.229,24061.729,217.048,6260.564,2884.411,4.858,27.525,118.666,122.128,7.827,8.812,22.865,273.804,25777.184,0.159,33.276,15.49,17.3,4.747,15.803
2023,dominican republic,-4.376,-3.593,1071.874,15.717,1293.784,-221.91,-3.254,-8.195,-0.12,4093.304,60.019,18.97,10.709,5.305,6820.019,121.785,11372.125,636846.36,275701.478,24429.386,230.991,6820.019,2952.501,2.361,27.744,124.345,126.487,3.569,4.786,23.489,290.353,27112.85,0.158,31.337,-4.169,-4.477,-7.099,1.695
2024,dominican republic,-4.251,-3.368,1216.821,16.327,1444.438,-227.617,-3.054,29.175,0.391,4408.489,59.151,19.381,10.797,6.0,7452.953,126.238,11692.09,690287.897,287509.759,25475.695,240.092,7452.953,3104.207,5.138,26.949,128.56,131.195,3.723,3.39,23.844,312.565,28949.585,0.161,30.317,1.06,1.332,1.464,5.373
2015,algeria,-27.29,-14.555,5104.736,27.039,7724.882,-2620.146,-13.879,-2577.592,-13.653,1459.571,7.731,40.918,39.963,11.214,18879.025,187.494,4691.686,472412.607,190087.083,15253.866,248.524,18879.025,7596.45,3.162,38.734,172.653,176.08,4.362,4.784,36.371,519.064,12988.608,0.461,53.301,-5.556,-6.087,1.755,5.733
2016,algeria,-26.473,-14.645,5011.581,25.332,7355.316,-2343.735,-11.847,-2296.902,-11.61,3579.684,18.094,37.179,40.836,10.498,19783.349,180.764,4426.58,484458.541,193247.631,15507.489,250.693,19783.349,7891.46,3.884,39.547,183.699,188.33,6.957,6.398,36.343,544.346,13330.04,0.465,54.205,-1.858,-1.253,7.883,9.612
2017,algeria,-22.331,-11.753,6047.885,28.702,7638.168,-1590.283,-7.547,-1421.207,-6.745,5060.389,24.015,36.249,41.721,11.709,21071.656,190.004,4554.15,505061.144,192030.519,15409.82,263.011,21071.656,8011.705,1.524,39.174,193.97,197.62,4.933,5.591,37.458,562.537,13483.308,0.455,50.927,-1.998,-0.843,2.628,0.042
